key,moment,status,nextInspectionDate,estimatedCost,notes,draftMode,key:technician,key:aircraft
maintenanceRecord-01,2020/01/01 00:00,PENDING,2025/09/01 10:00,EUR 500000.00,Lorem,true,technician-01,aircraft-01
maintenanceRecord-02,2000/01/01 00:00,PENDING,2025/09/01 10:00,EUR 500000.00,Lorem,true,technician-01,aircraft-01
maintenanceRecord-03,2000/01/01 00:01,PENDING,2025/09/01 10:00,EUR 500000.00,Lorem,true,technician-01,aircraft-01
maintenanceRecord-04,2024/12/31 23:59,PENDING,2025/09/01 10:00,EUR 500000.00,Lorem,true,technician-01,aircraft-01
maintenanceRecord-05,2025/01/01 00:00,PENDING,2025/09/01 10:00,EUR 500000.00,Lorem,true,technician-01,aircraft-01
maintenanceRecord-06,2020/01/01 00:00,PENDING,2025/09/01 10:00,EUR 500000.00,Lorem,true,technician-01,aircraft-01
maintenanceRecord-07,2020/01/01 00:00,IN_PROGRESS,2025/09/01 10:00,EUR 500000.00,Lorem,true,technician-01,aircraft-01
maintenanceRecord-08,2020/01/01 00:00,COMPLETED,2025/09/01 10:00,EUR 500000.00,Lorem,true,technician-01,aircraft-01
maintenanceRecord-09,2020/01/01 00:00,PENDING,2000/01/01 00:00,EUR 500000.00,Lorem,true,technician-01,aircraft-01
maintenanceRecord-10,2020/01/01 00:00,PENDING,2000/01/01 00:01,EUR 500000.00,Lorem,true,technician-01,aircraft-01
maintenanceRecord-11,2020/01/01 00:00,PENDING,2200/12/31 23:58,EUR 500000.00,Lorem,true,technician-01,aircraft-01
maintenanceRecord-12,2020/01/01 00:00,PENDING,2200/12/31 23:59,EUR 500000.00,Lorem,true,technician-01,aircraft-01
maintenanceRecord-13,2020/01/01 00:00,PENDING,2025/09/01 10:00,EUR 0.00,Lorem,true,technician-01,aircraft-01
maintenanceRecord-14,2020/01/01 00:00,PENDING,2025/09/01 10:00,EUR 0.01,Lorem,true,technician-01,aircraft-01
maintenanceRecord-15,2020/01/01 00:00,PENDING,2025/09/01 10:00,EUR 999999.99,Lorem,true,technician-01,aircraft-01
maintenanceRecord-16,2020/01/01 00:00,PENDING,2025/09/01 10:00,EUR 1000000.00,Lorem,true,technician-01,aircraft-01
maintenanceRecord-17,2020/01/01 00:00,PENDING,2025/09/01 10:00,USD 500000.00,Lorem,true,technician-01,aircraft-01
maintenanceRecord-18,2020/01/01 00:00,PENDING,2025/09/01 10:00,JPY 500000.00,Lorem,true,technician-01,aircraft-01
maintenanceRecord-19,2020/01/01 00:00,PENDING,2025/09/01 10:00,ARS 500000.00,Lorem,true,technician-01,aircraft-01
maintenanceRecord-20,2020/01/01 00:00,PENDING,2025/09/01 10:00,EUR 500000.00,"",true,technician-01,aircraft-01
maintenanceRecord-21,2020/01/01 00:00,PENDING,2025/09/01 10:00,EUR 500000.00,L,true,technician-01,aircraft-01
maintenanceRecord-22,2020/01/01 00:00,PENDING,2025/09/01 10:00,EUR 500000.00,Lorem ipsum dolor sit amet consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor.,true,technician-01,aircraft-01
maintenanceRecord-23,2020/01/01 00:00,PENDING,2025/09/01 10:00,EUR 500000.00,Lorem ipsum dolor sit amet consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor..,true,technician-01,aircraft-01
maintenanceRecord-24,2020/01/01 00:00,PENDING,2025/09/01 10:00,EUR 500000.00,Добрый день,true,technician-01,aircraft-01
maintenanceRecord-25,2020/01/01 00:00,PENDING,2025/09/01 10:00,EUR 500000.00,مساء الخير,true,technician-01,aircraft-01
maintenanceRecord-26,2020/01/01 00:00,PENDING,2025/09/01 10:00,EUR 500000.00,こんにちは,true,technician-01,aircraft-01
maintenanceRecord-27,2020/01/01 00:00,PENDING,2025/09/01 10:00,EUR 500000.00,下午好,true,technician-01,aircraft-01
maintenanceRecord-28,2020/01/01 00:00,PENDING,2025/09/01 10:00,EUR 500000.00,<marquee>Hacked</marquee>,true,technician-01,aircraft-01
maintenanceRecord-29,2020/01/01 00:00,PENDING,2025/09/01 10:00,EUR 500000.00,<script>alert(‘Hacked!’);</script>,true,technician-01,aircraft-01
maintenanceRecord-30,2020/01/01 00:00,PENDING,2025/09/01 10:00,EUR 500000.00,' or 'A' = 'A,true,technician-01,aircraft-01
maintenanceRecord-31,2020/01/01 00:00,PENDING,2025/09/01 10:00,EUR 500000.00,Lorem,false,technician-01,aircraft-01
maintenanceRecord-32,2020/01/01 00:00,PENDING,2025/09/01 10:00,EUR 500000.00,Lorem,true,technician-02,aircraft-01
maintenanceRecord-33,2020/01/01 00:00,PENDING,2025/09/01 10:00,EUR 500000.00,Lorem,true,technician-01,aircraft-02
